,kunnr,xref_x,xref_label,xref_y,rank
370,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
371,2002213981,PHC,others,PHC,1
372,2002213931,MULTI GROH,MULTI GROH,MULTI GROH,1
373,2002213887,FABRIC,FABRIC,FABRIC,4
374,2002213981,BEAUTY,BEAUTY,BEAUTY,5
375,2002213981,MULTI GROH,MULTI GROH,MULTI GROH,4
376,2002213918,UNIDENTIFI,others,others,3
377,2002213918,UNIDENTIFI,others,others,3
378,2002213918,UNIDENTIFI,others,others,3
379,2002213918,UNIDENTIFI,others,others,3
380,2002213981,MULTI GROH,MULTI GROH,MULTI GROH,4
381,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
382,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
383,2002214045,BEAUTY,others,BEAUTY,1
384,2002214045,BEAUTY,others,BEAUTY,1
385,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
386,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
387,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
388,2002213981,FABRIC,FABRIC,FABRIC,2
389,2002213895,FAMILY,FAMILY,FAMILY,1
390,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
391,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
392,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
393,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
394,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
395,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
396,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
397,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
398,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
399,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
400,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
401,2002213895,MULTI GROH,MULTI GROH,MULTI GROH,7
402,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
403,2002214045,BEAUTY,others,BEAUTY,1
404,2002214045,BEAUTY,others,BEAUTY,1
405,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
406,2002213981,MULTI GROH,MULTI GROH,MULTI GROH,4
407,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
408,2002214045,BEAUTY,others,BEAUTY,1
409,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
410,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
411,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
412,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
413,2002213918,UNIDENTIFI,others,others,3
414,2002213918,UNIDENTIFI,others,others,3
415,2002213981,MULTI GROH,MULTI GROH,MULTI GROH,4
416,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
417,2002214045,FABRIC,others,BEAUTY,1
418,2002214045,FAMILY,others,BEAUTY,1
